nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,5/31/2023,564987,,0.0
RJTL,6/1/2023,78415,6/1/2023,1.0
RJTL,6/2/2023,290794,6/2/2023,1.0
RJTL,6/3/2023,313187,,0.0
RJTL,6/4/2023,39057,6/4/2023,1.0
RJTL,6/5/2023,717091,,0.0
RJTL,6/6/2023,675439,,0.0
RJTL,6/7/2023,603264,,0.0
RJTL,6/8/2023,560811,,0.0
RJTL,6/9/2023,515063,,0.0
RJTL,6/10/2023,328332,,0.0
RJTL,6/11/2023,44444,,0.0
RJTL,6/12/2023,666267,,0.0
RJTL,6/13/2023,640893,,0.0
RJTL,6/14/2023,586427,,0.0
RJTL,6/15/2023,566225,,0.0
RJTL,6/16/2023,516496,,0.0
RJTL,6/17/2023,312176,,0.0
RJTL,6/18/2023,44969,,0.0
RJTL,6/19/2023,640281,,0.0
RJTL,6/20/2023,596318,,0.0
RJTL,6/21/2023,552612,,0.0
RJTL,6/22/2023,539382,,0.0
RJTL,6/23/2023,475099,,0.0
RJTL,6/24/2023,293170,,0.0
RJTL,6/25/2023,43914,,0.0
RJTL,6/26/2023,649985,,0.0
RJTL,6/27/2023,647716,,0.0
RJTL,6/28/2023,257138,6/28/2023,1.0
RJTL,6/29/2023,59073,6/29/2023,1.0
RJTL,6/30/2023,283385,6/30/2023,1.0
RJTL,7/1/2023,271058,,0.0
RJTL,7/2/2023,39793,,0.0
RJTL,7/3/2023,675725,,0.0
RJTL,7/4/2023,643081,,0.0
RJTL,7/5/2023,622705,,0.0
RJTL,7/6/2023,589954,,0.0
RJTL,7/7/2023,509333,,0.0
RJTL,7/8/2023,308608,,0.0
RJTL,7/9/2023,47900,,0.0
RJTL,7/10/2023,662355,,0.0
RJTL,7/11/2023,631260,,0.0
RJTL,7/12/2023,614563,,0.0
RJTL,7/13/2023,584968,,0.0
RJTL,7/14/2023,520014,,0.0
RJTL,7/15/2023,322185,,0.0
RJTL,7/16/2023,46764,,0.0
RJTL,7/17/2023,677751,,0.0
RJTL,7/18/2023,648780,,0.0
RJTL,7/19/2023,78439,7/19/2023,1.0
RJTL,7/20/2023,638918,,0.0
RJTL,7/21/2023,583440,,0.0
RJTL,7/22/2023,355703,,0.0
RJTL,7/23/2023,49885,,0.0
RJTL,7/24/2023,661642,,0.0
RJTL,7/25/2023,615212,,0.0
RJTL,7/26/2023,563891,,0.0
RJTL,7/27/2023,581098,,0.0
RJTL,7/28/2023,494704,,0.0
RJTL,7/29/2023,308563,,0.0
RJTL,7/30/2023,48548,,0.0
RJTL,7/31/2023,608918,,0.0
RJTL,8/1/2023,544667,,0.0
RJTL,8/2/2023,493714,,0.0
RJTL,8/3/2023,543018,,0.0
RJTL,8/4/2023,512175,,0.0
RJTL,8/5/2023,315754,,0.0
RJTL,8/6/2023,42542,,0.0
RJTL,8/7/2023,696310,,0.0
RJTL,8/8/2023,659560,,0.0
RJTL,8/9/2023,592506,,0.0
RJTL,8/10/2023,606565,,0.0
RJTL,8/11/2023,524788,,0.0
RJTL,8/12/2023,326917,,0.0
RJTL,8/13/2023,46852,,0.0
RJTL,8/14/2023,700308,,0.0
RJTL,8/15/2023,679590,,0.0
RJTL,8/16/2023,618722,,0.0
RJTL,8/17/2023,74995,8/17/2023,1.0
RJTL,8/18/2023,579989,,0.0
RJTL,8/19/2023,334099,,0.0
RJTL,8/20/2023,47511,,0.0
RJTL,8/21/2023,719969,,0.0
RJTL,8/22/2023,669726,,0.0
RJTL,8/23/2023,578190,,0.0
RJTL,8/24/2023,543095,,0.0
RJTL,8/25/2023,503516,,0.0
RJTL,8/26/2023,322896,,0.0
RJTL,8/27/2023,45889,,0.0
RJTL,8/28/2023,690615,,0.0
RJTL,8/29/2023,643287,,0.0
RJTL,8/30/2023,573714,,0.0
RJTL,8/31/2023,533744,,0.0
RJTL,9/1/2023,498338,,0.0
RJTL,9/2/2023,318483,,0.0
RJTL,9/3/2023,46426,,0.0
RJTL,9/4/2023,666408,,0.0
RJTL,9/5/2023,636141,,0.0
RJTL,9/6/2023,587817,,0.0
RJTL,9/7/2023,607607,,0.0
RJTL,9/8/2023,558773,,0.0
RJTL,9/9/2023,344756,,0.0
RJTL,9/10/2023,47339,,0.0
RJTL,9/11/2023,700478,,0.0
RJTL,9/12/2023,654429,,0.0
RJTL,9/13/2023,596083,,0.0
RJTL,9/14/2023,599888,,0.0
RJTL,9/15/2023,555713,,0.0
RJTL,9/16/2023,336106,,0.0
RJTL,9/17/2023,53876,,0.0
RJTL,9/18/2023,681464,,0.0
RJTL,9/19/2023,638469,,0.0
RJTL,9/20/2023,588402,,0.0
RJTL,9/21/2023,614021,,0.0
RJTL,9/22/2023,562084,,0.0
RJTL,9/23/2023,351401,,0.0
RJTL,9/24/2023,58875,,0.0
RJTL,9/25/2023,705276,,0.0
RJTL,9/26/2023,668546,,0.0
RJTL,9/27/2023,615168,,0.0
